protein	mode	fr	set	peak	cnt
STARD10	neg	C9	valids	peak	271
STARD10	neg	C8	valids	peak	286
STARD10	neg	C12	valids	non-peak	76
STARD10	neg	C11	valids	non-peak	124
STARD10	neg	C10	valids	non-peak	221
STARD10	neg	C7	valids	peak	278
STARD10	neg	C6	valids	peak	271
STARD10	neg	C5	valids	non-peak	149
STARD10	neg	C4	valids	non-peak	105
STARD10	neg	C9	data	peak	6074
STARD10	neg	C8	data	peak	6270
STARD10	neg	C12	data	non-peak	5202
STARD10	neg	C11	data	non-peak	5462
STARD10	neg	C10	data	non-peak	5556
STARD10	neg	C7	data	peak	5799
STARD10	neg	C6	data	peak	5818
STARD10	neg	C5	data	non-peak	5515
STARD10	neg	C4	data	non-peak	4869
STARD10	pos	C9	valids	peak	495
STARD10	pos	C8	valids	peak	602
STARD10	pos	C12	valids	non-peak	210
STARD10	pos	C11	valids	non-peak	164
STARD10	pos	C10	valids	non-peak	271
STARD10	pos	C7	valids	peak	539
STARD10	pos	C6	valids	peak	506
STARD10	pos	C5	valids	non-peak	231
STARD10	pos	C4	valids	non-peak	201
STARD10	pos	C9	data	peak	5494
STARD10	pos	C8	data	peak	6110
STARD10	pos	C12	data	non-peak	5242
STARD10	pos	C11	data	non-peak	4933
STARD10	pos	C10	data	non-peak	5332
STARD10	pos	C7	data	peak	6029
STARD10	pos	C6	data	peak	5633
STARD10	pos	C5	data	non-peak	5274
STARD10	pos	C4	data	non-peak	5342
SEC14L2	neg	C9	valids	peak	72
SEC14L2	neg	C8	valids	peak	12
SEC14L2	neg	C12	valids	non-peak	9
SEC14L2	neg	C11	valids	peak	12
SEC14L2	neg	C10	valids	peak	69
SEC14L2	neg	C7	valids	peak	36
SEC14L2	neg	C6	valids	non-peak	50
SEC14L2	neg	C5	valids	non-peak	11
SEC14L2	neg	C9	data	peak	6108
SEC14L2	neg	C8	data	peak	4410
SEC14L2	neg	C12	data	non-peak	4468
SEC14L2	neg	C11	data	peak	4357
SEC14L2	neg	C10	data	peak	5769
SEC14L2	neg	C7	data	peak	4390
SEC14L2	neg	C6	data	non-peak	6355
SEC14L2	neg	C5	data	non-peak	4511
SEC14L2	pos	C9	valids	peak	219
SEC14L2	pos	C8	valids	peak	1073
SEC14L2	pos	C12	valids	non-peak	211
SEC14L2	pos	C11	valids	peak	923
SEC14L2	pos	C10	valids	peak	1075
SEC14L2	pos	C7	valids	peak	1072
SEC14L2	pos	C6	valids	non-peak	214
SEC14L2	pos	C5	valids	non-peak	202
SEC14L2	pos	C9	data	peak	3906
SEC14L2	pos	C8	data	peak	5468
SEC14L2	pos	C12	data	non-peak	4162
SEC14L2	pos	C11	data	peak	5062
SEC14L2	pos	C10	data	peak	5559
SEC14L2	pos	C7	data	peak	5118
SEC14L2	pos	C6	data	non-peak	3970
SEC14L2	pos	C5	data	non-peak	3942
SEC14L4	neg	E11	valids	non-peak	75
SEC14L4	neg	E10	valids	peak	127
SEC14L4	neg	E12	valids	non-peak	56
SEC14L4	neg	E9	valids	peak	144
SEC14L4	neg	E8	valids	peak	144
SEC14L4	neg	E5	valids	non-peak	64
SEC14L4	neg	E7	valids	peak	140
SEC14L4	neg	E6	valids	non-peak	79
SEC14L4	neg	E11	data	non-peak	9134
SEC14L4	neg	E10	data	peak	9364
SEC14L4	neg	E12	data	non-peak	9064
SEC14L4	neg	E9	data	peak	9780
SEC14L4	neg	E8	data	peak	9524
SEC14L4	neg	E5	data	non-peak	10077
SEC14L4	neg	E7	data	peak	9450
SEC14L4	neg	E6	data	non-peak	8946
SEC14L4	pos	E11	valids	non-peak	103
SEC14L4	pos	E10	valids	peak	152
SEC14L4	pos	E12	valids	non-peak	108
SEC14L4	pos	E9	valids	peak	194
SEC14L4	pos	E8	valids	peak	170
SEC14L4	pos	E5	valids	non-peak	105
SEC14L4	pos	E7	valids	peak	149
SEC14L4	pos	E6	valids	non-peak	108
SEC14L4	pos	E11	data	non-peak	6873
SEC14L4	pos	E10	data	peak	7209
SEC14L4	pos	E12	data	non-peak	7246
SEC14L4	pos	E9	data	peak	7219
SEC14L4	pos	E8	data	peak	7478
SEC14L4	pos	E5	data	non-peak	9164
SEC14L4	pos	E7	data	peak	7565
SEC14L4	pos	E6	data	non-peak	7888
FABP3	neg	E11	valids	peak	311
FABP3	neg	E10	valids	peak	432
FABP3	neg	E12	valids	non-peak	176
FABP3	neg	E9	valids	peak	437
FABP3	neg	E8	valids	peak	416
FABP3	neg	E5	valids	non-peak	98
FABP3	neg	E7	valids	peak	271
FABP3	neg	E6	valids	non-peak	134
FABP3	neg	E11	data	peak	10474
FABP3	neg	E10	data	peak	10123
FABP3	neg	E12	data	non-peak	10668
FABP3	neg	E9	data	peak	10412
FABP3	neg	E8	data	peak	10301
FABP3	neg	E5	data	non-peak	10234
FABP3	neg	E7	data	peak	10049
FABP3	neg	E6	data	non-peak	10452
FABP3	pos	E11	valids	peak	283
FABP3	pos	E10	valids	peak	312
FABP3	pos	E12	valids	non-peak	234
FABP3	pos	E9	valids	peak	393
FABP3	pos	E8	valids	peak	386
FABP3	pos	E5	valids	non-peak	239
FABP3	pos	E7	valids	peak	283
FABP3	pos	E6	valids	non-peak	249
FABP3	pos	E11	data	peak	4410
FABP3	pos	E10	data	peak	4845
FABP3	pos	E12	data	non-peak	4375
FABP3	pos	E9	data	peak	5088
FABP3	pos	E8	data	peak	4435
FABP3	pos	E5	data	non-peak	5198
FABP3	pos	E7	data	peak	4472
FABP3	pos	E6	data	non-peak	4894
PITPNA	neg	A11	valids	peak	176
PITPNA	neg	A10	valids	peak	179
PITPNA	neg	A12	valids	peak	155
PITPNA	neg	A5	valids	non-peak	11
PITPNA	neg	B1	valids	non-peak	90
PITPNA	neg	A7	valids	peak	174
PITPNA	neg	A6	valids	peak	158
PITPNA	neg	A9	valids	peak	188
PITPNA	neg	A8	valids	peak	187
PITPNA	neg	A11	data	peak	10871
PITPNA	neg	A10	data	peak	10832
PITPNA	neg	A12	data	peak	11035
PITPNA	neg	A5	data	non-peak	10782
PITPNA	neg	B1	data	non-peak	11051
PITPNA	neg	A7	data	peak	10614
PITPNA	neg	A6	data	peak	10872
PITPNA	neg	A9	data	peak	10646
PITPNA	neg	A8	data	peak	11283
PITPNA	pos	A11	valids	peak	457
PITPNA	pos	A10	valids	peak	460
PITPNA	pos	A12	valids	peak	433
PITPNA	pos	A5	valids	non-peak	353
