"Bracket Type=4",,,,,,,,,,,,,,,,,,,,
"Sample Type","File Name","Sample ID","Path","Instrument Method","Process Method","Position","Inj Vol","Level","Sample Wt","Sample Vol","ISTD Amt","Dil Factor","L1 Study","L2 Client","L3 Laboratory","L4 Company","L5 Phone","Comment","Sample Name","Calibration File"
"Unknown","150310_Popeye_MLH_AC_SEC_buffer_extracted_pos",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_pos",,"1:A1",30,,0,0,0,1,,,,,,"SEC-Buffer extracted; recon. with 60ulMeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_MeOH_blank_pos",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_pos",,"1:A9",30,,0,0,0,1,,,,,,"pure MeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_STARD10_A12_pos",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_pos",,"1:A3",30,,0,0,0,1,,,,,,"STARD10 extracted; recon. with 60ul MeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_STARD10_A11_pos",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_pos",,"1:A4",30,,0,0,0,1,,,,,,"STARD10 extracted; recon. with 60ul MeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_STARD10_A10_pos",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_pos",,"1:A5",30,,0,0,0,1,,,,,,"STARD10 extracted; recon. with 60ul MeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_STARD10_A09_pos",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_pos",,"1:A6",30,,0,0,0,1,,,,,,"STARD10 extracted; recon. with 60ul MeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_TLC_Std1_2_extracted_100pg_on_column_neg",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:C7",1,,0,0,0,1,,,,,,"0.1ng on column; 1ul (100ng/ul) TLC Std1+2 extracted; recon. with100ulMeOH; 1:10dil. with MeOH in the plate Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_SEC_buffer_extracted_neg",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:C1",30,,0,0,0,1,,,,,,"SEC-Buffer extracted; recon. with 60ulMeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_MeOH_blank_neg",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:C9",30,,0,0,0,1,,,,,,"pure MeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_STARD10_A12_neg",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:C3",30,,0,0,0,1,,,,,,"STARD10 extracted; recon. with 60ul MeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_STARD10_A11_neg",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:C4",30,,0,0,0,1,,,,,,"STARD10 extracted; recon. with 60ul MeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_STARD10_A10_neg",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:C5",30,,0,0,0,1,,,,,,"STARD10 extracted; recon. with 60ul MeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_STARD10_A09_neg",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:C6",30,,0,0,0,1,,,,,,"STARD10 extracted; recon. with 60ul MeOH Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_TLC_Std1_2_extracted_100pg_on_column_neg_150310195834",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:C8",1,,0,0,0,1,,,,,,"0.1ng on column; 1ul (100ng/ul) TLC Std1+2 extracted; recon. with100ulMeOH; 1:10dil. with MeOH in the plate Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_AC_TLC_Std1_2_extracted_100pg_on_column_pos_150310202419",1,"D:\2015_03","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_pos",,"1:A8",1,,0,0,0,1,,,,,,"0.1ng on column; 1ul (100ng/ul) TLC Std1+2 extracted; recon. with100ulMeOH; 1:10dil. with MeOH in the plate Kinetex 30x2.1 2.6um C18 0.5ml/min",,
"Unknown","150310_Popeye_MLH_shutdown",1,"D:\2015_03","C:\Xcalibur\methods\shutdown_method",,"1:A12",1,,0,0,0,1,,,,,,"Kinetex 30x2.1 2.6um C18 0.05ml/min",,
"Bracket Type=4",,,,,,,,,,,,,,,,,,,,
"Sample Type","File Name","Sample ID","Path","Instrument Method","Process Method","Position","Inj Vol","Level","Comment","Calibration File","Sample Wt","Sample Vol","ISTD Amt","Dil Factor","L1 Study","L2 Client","L3 Laboratory","L4 Company","L5 Phone","Sample Name"
"Unknown","150330_Popeye_MLH_AC_TLC_Std1_2_dil_1_10000_10ul",1,"D:\2015_04","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_pos",,"1:A1",10,,"TLC standard 1+2 Kinetex 30x2.1 2.6um C18 0.5ml/min",,0,0,0,1,,,,,,
"Unknown","150330_Popeye_MLH_AC_TLC_Std1_2_dil_1_10000_10ul_neg",1,"D:\2015_04","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:A2",10,,"TLC standard 1+2 Kinetex 30x2.1 2.6um C18 0.5ml/min",,0,0,0,1,,,,,,
"Unknown","150330_Popeye_MLH_shutdown",1,"D:\2015_04","C:\Xcalibur\methods\shutdown_method",,"1:A6",1,,"Kinetex 30x2.1 2.6um C18 0.05ml/min",,0,0,0,1,,,,,,
"Unknown","150330_Popeye_MLH_AC_TLC_Std1_2_dil_1_10000_10ul_neg_bufferB_no_NH4FA_01",1,"D:\2015_04","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:A3",10,,"TLC standard 1+2 Kinetex 30x2.1 2.6um C18 0.5ml/min",,0,0,0,1,,,,,,
"Unknown","150330_Popeye_MLH_AC_TLC_Std1_2_dil_1_10000_10ul_neg_bufferB_no_NH4FA_02",1,"D:\2015_04","C:\Xcalibur\methods\MLH_Lipidomics_18_4min_grad_neg",,"1:A4",10,,"TLC standard 1+2 Kinetex 30x2.1 2.6um C18 0.5ml/min",,0,0,0,1,,,,,,
"Unknown","150330_Popeye_MLH_shutdown_02",1,"D:\2015_04","C:\Xcalibur\methods\shutdown_method",,"1:A6",1,,"Kinetex 30x2.1 2.6um C18 0.05ml/min",,0,0,0,1,,,,,,
