protein	ionm	id	mz	mzcorr	intensity	cls	headgroup1	rtmean	rtms2	rtlow	rtup	headgroup	lyso	pref	carb	unsat	fa1p	fa1c	fa1u	fa2p	fa2c	fa2u	fa3p	fa3c	fa3u	fullhgroup	mhgroup	uhgroup	hgcc	cc	hgfa	ccfa	screen	domain	lit
SCP2	neg	0	719.4863	719.4863	200000	I	PG(16:0/16:1)	6.63	6.6454973	5.56	6.91	PG			32.0	1.0		16.0	0.0		16.0	1.0		NaN	NaN	PG	PG	PG	PG(32:1)	32:1	PG(16:0/16:1)	16:0/16:1	E	scp2	False
SCP2	neg	1	691.4552	691.4552	38000	I	PG(14:0/16:1)	5.5	5.4923005	4.23	5.79	PG			30.0	1.0		14.0	0.0		16.0	1.0		NaN	NaN	PG	PG	PG	PG(30:1)	30:1	PG(14:0/16:1)	14:0/16:1	E	scp2	False
SCP2	neg	2	789.528	789.528	37000	III.2	unknown	6.41	6.3990742	5.21	6.8	PG		O	35.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(35:3)	35:3	NA	NA	E	scp2	False
SCP2	neg	3	735.4814	735.4814	30000	III.2	unknown	5.23	5.2205318	3.82	5.68	PG		O	31.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(31:2)	31:2	NA	NA	E	scp2	False
SCP2	neg	4	730.5024	730.5024	25000	III.2	unknown	6.2	6.1842181	5.51	6.69	PS		O	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	NA-O	NA-O(33:2)	33:2	NA	NA	E	scp2	False
SCP2	neg	4	730.5024	730.5024	25000	III.2	unknown	6.2	6.1842181	5.51	6.69	PC		O	30.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	NA	NA-O	NA-O(30:3)	30:3	NA	NA	E	scp2	False
SCP2	neg	4	730.5024	730.5024	25000	III.2	unknown	6.2	6.1842181	5.51	6.69	PE		O	33.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA-O	NA-O(33:3)	33:3	NA	NA	E	scp2	False
SCP2	neg	5	761.4973	761.4973	24000	III.2	unknown	5.41	5.4098777	4.02	5.8	PG		O	33.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(33:3)	33:3	NA	NA	E	scp2	False
SCP2	pos	0	832.2395	832.2395	6800000	III.5	unknown	13.08	13.116199	12.74	13.49	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	scp2	False
SCP2	pos	1	786.5999	786.5999	530000	I	PC(36:2)	8.9	8.8789448	8.37	9.58	PC			36.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC(36:2)	36:2	NA	NA	E	scp2	True
SCP2	pos	2	716.5215	716.5215	470000	I	PE(16:1/18:1)	7.79	7.7936506	6.73	8.32	PE			34.0	2.0		16.0	1.0		18.0	1.0		NaN	NaN	PE	PE	PE	PE(34:2)	34:2	PE(16:1/18:1)	16:1/18:1	E	scp2	False
SCP2	pos	3	738.528	738.528	260000	I	PG(16:0/16:1)	6.62	6.644525900000001	5.64	6.9	PG/BMP			32.0	1.0		16.0	0.0		16.0	1.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(32:1)	32:1	PG/BMP(16:0/16:1)	16:0/16:1	E	scp2	False
SCP2	pos	4	764.5435	764.5435	190000	I	PG(16:1/18:1)	6.71	6.708526699999999	5.82	7.16	PG/BMP			34.0	2.0		16.0	1.0		18.0	1.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(34:2)	34:2	PG/BMP(16:1/18:1)	16:1/18:1	E	scp2	False
SCP2	pos	5	792.5742	792.5742	180000	I	PG(18:1/18:1)	7.91	7.920993800000001	7.34	8.36	PG/BMP			36.0	2.0		18.0	1.0		18.0	1.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(36:2)	36:2	PG/BMP(18:1/18:1)	18:1/18:1	E	scp2	False
SCP2	pos	6	766.5591	766.5591	180000	I	PG(16:0/18:1)	7.78	7.7970457	7.21	8.05	PG/BMP			34.0	1.0		16.0	0.0		18.0	1.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(34:1)	34:1	PG/BMP(16:0/18:1)	16:0/18:1	E	scp2	False
SCP2	pos	7	688.4911	688.4911	150000	I	PE(16:1/16:1)	6.54	6.5577599	6.09	6.9	PE			32.0	2.0		16.0	1.0		16.0	1.0		NaN	NaN	PE	PE	PE	PE(32:2)	32:2	PE(16:1/16:1)	16:1/16:1	E	scp2	False
SCP2	pos	8	744.5818	744.5818	110000	III.2	unknown	3.27	3.3306157	2.07	3.77	PE		O	37.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA-O	NA-O(37:2)	37:2	NA	NA	E	scp2	False
SCP2	pos	8	744.5818	744.5818	110000	III.2	unknown	3.27	3.3306157	2.07	3.77	PC		O	34.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	NA	NA-O	NA-O(34:2)	34:2	NA	NA	E	scp2	False
SCP2	pos	8	744.5818	744.5818	110000	III.2	unknown	3.27	3.3306157	2.07	3.77	PA		O	39.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	NA	NA-O	NA-O(39:3)	39:3	NA	NA	E	scp2	False
SCP2	pos	9	702.5066	702.5066	100000	I	PE(16:1/17:1)	7.32	7.319607899999999	6.9	7.66	PE			33.0	2.0		16.0	1.0		17.0	1.0		NaN	NaN	PE	PE	PE	PE(33:2)	33:2	PE(16:1/17:1)	16:1/17:1	E	scp2	False
SCP2	pos	10	752.5428	752.5428	99000	I	PG(16:0/17:1)	7.34	7.340500199999999	6.54	7.62	PG/BMP			33.0	1.0		16.0	0.0		17.0	1.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(33:1)	33:1	PG/BMP(16:0/17:1)	16:0/17:1	E	scp2	False
SCP2	pos	11	500.3938	500.3938	96000	III.5	unknown	2.48	2.4848202	1.26	2.98	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	scp2	False
SCP2	pos	12	732.5176	732.5176	73000	III.2	unknown	6.18	6.1595609	5.65	6.68	PS		O	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	NA-O	NA-O(33:2)	33:2	NA	NA	E	scp2	False
SCP2	pos	12	732.5176	732.5176	73000	III.2	unknown	6.18	6.1595609	5.65	6.68	PG		O	33.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(33:4)	33:4	NA	NA	E	scp2	False
SCP2	pos	13	778.5585	778.5585	71000	I	PG(17:1/18:1)	7.48	7.4930337	6.67	7.74	PG/BMP			35.0	2.0		17.0	1.0		18.0	1.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(35:2)	35:2	PG/BMP(17:1/18:1)	17:1/18:1	E	scp2	False
SCP2	pos	14	710.4935	710.4935	60000	I	PG(14:0/16:1)	5.57	5.4844791	4.5	6.09	PG/BMP			30.0	1.0		14.0	0.0		16.0	1.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(30:1)	30:1	PG/BMP(14:0/16:1)	14:0/16:1	E	scp2	False
SCP2	pos	15	628.5154	628.5154	60000	III.5	unknown	4.28	4.3612592	3.91	4.54	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	scp2	False
SCP2	pos	16	706.5021	706.5021	56000	III.2	unknown	5.97	5.9597648	5.11	6.54	PS		O	31.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	NA-O	NA-O(31:1)	31:1	NA	NA	E	scp2	False
SCP2	pos	16	706.5021	706.5021	56000	III.2	unknown	5.97	5.9597648	5.11	6.54	PG		O	31.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(31:3)	31:3	NA	NA	E	scp2	False
SCP2	pos	17	760.548	760.548	53000	III.2	unknown	7.34	7.3388224	6.9	7.87	PS		O	35.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	NA-O	NA-O(35:2)	35:2	NA	NA	E	scp2	False
SCP2	pos	17	760.548	760.548	53000	III.2	unknown	7.34	7.3388224	6.9	7.87	PG		O	35.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PG-O	NA	NA-O	NA-O(35:4)	35:4	NA	NA	E	scp2	False
SCP2	pos	18	808.5694	808.5694	51000	III.2	unknown	6.39	6.3852257	5.29	6.77	Hex2Cer		d	30.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	Hex2Cer	NA	NA	Hex2Cer(30:0)	30:0	NA	NA	E	scp2	False
SCP2	pos	18	808.5694	808.5694	51000	III.2	unknown	6.39	6.3852257	5.29	6.77	SHexCer		d	36.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	SHexCer	NA	NA	SHexCer(36:1)	36:1	NA	NA	E	scp2	False
SCP2	pos	18	808.5694	808.5694	51000	III.2	unknown	6.39	6.3852257	5.29	6.77	HexCer		d	41.0	7.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	NA	NA	HexCer(41:7)	41:7	NA	NA	E	scp2	False
SCP2	pos	19	549.4873	549.4873	35000	III.2	unknown	6.62	6.6176676	5.73	6.86	DAG-O		O	32.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA-O	NA-O(32:3)	32:3	NA	NA	E	scp2	False
SCP2	pos	19	549.4873	549.4873	35000	III.2	unknown	6.62	6.6176676	5.73	6.86	MAG			30.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	NA	NA	MAG(30:0)	30:0	NA	NA	E	scp2	False
SCP2	pos	19	549.4873	549.4873	35000	III.2	unknown	6.62	6.6176676	5.73	6.86	DAG-O		O	30.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA-O	NA-O(30:0)	30:0	NA	NA	E	scp2	False
SCP2	pos	20	754.5227	754.5227	32000	III.2	unknown	5.22	5.2463538	3.95	5.61	HexCer		d	37.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	NA	HexCer	HexCer(37:6)	37:6	NA	NA	E	scp2	False
SCP2	pos	21	743.4832	743.4832	31000	III.2	unknown	6.62	6.6608552	5.64	6.86	PG/BMP			34.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(34:4)	34:4	NA	NA	E	scp2	False
SCP2	pos	21	743.4832	743.4832	31000	III.2	unknown	6.62	6.6608552	5.64	6.86	PG/BMP			32.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(32:1)	32:1	NA	NA	E	scp2	False
SCP2	pos	22	676.491	676.491	27000	I	PE(31:1)	7.1	7.149561899999999	6.68	7.39	PE			31.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	PE	PE	PE(31:1)	31:1	NA	NA	E	scp2	False
SCP2	pos	23	736.5122	736.5122	24000	I	PG(16:1/16:1)	5.65	5.678245899999999	4.88	6.27	PG/BMP			32.0	2.0		16.0	1.0		16.0	1.0		NaN	NaN	PG/BMP	PG/BMP	PG/BMP	PG/BMP(32:2)	32:2	PG/BMP(16:1/16:1)	16:1/16:1	E	scp2	False
SCP2	pos	24	902.8151	902.8151	14000	II	TAG(54:3)	18.34	17.182757	17.95	19.22	TAG			54.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG	TAG	TAG	TAG(54:3)	54:3	NA	NA	E	scp2	False
GM2A	pos	0	814.6978	814.6978	770000	IV	Ambiguous	16.73	NaN	16.49	17.45	CerP		d	48.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	CerP	ambiguous	CerP	CerP(48:1)	48:1	NA	NA	E	ML	False
GM2A	pos	0	814.6978	814.6978	770000	IV	Ambiguous	16.73	NaN	16.49	17.45	TAG			48.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG	ambiguous	TAG	TAG(48:5)	48:5	NA	NA	E	ML	False
GM2A	pos	0	814.6978	814.6978	770000	IV	Ambiguous	16.73	NaN	16.49	17.45	Cer		d	53.0	7.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(53:7)	53:7	NA	NA	E	ML	False
GM2A	pos	1	816.7135	816.7135	190000	IV	Ambiguous	16.87	NaN	16.66	17.14	TAG			48.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG	ambiguous	TAG	TAG(48:4)	48:4	NA	NA	E	ML	False
GM2A	pos	1	816.7135	816.7135	190000	IV	Ambiguous	16.87	NaN	16.66	17.14	Cer		d	53.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(53:6)	53:6	NA	NA	E	ML	False
GM2A	pos	2	410.3477	410.3477	160000	III.5	unknown	1.85	1.841511	1.25	6.83	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	ML	False
GM2A	pos	3	732.5473	732.5473	120000	IV	Ambiguous	1.8	7.2122242	0.84	6.87	PC			32.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	ambiguous	PC	PC(32:1)	32:1	NA	NA	E	ML	True
GM2A	pos	3	732.5473	732.5473	120000	IV	Ambiguous	1.8	7.2122242	0.84	6.87	PE			35.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	ambiguous	PE	PE(35:1)	35:1	NA	NA	E	ML	False
GM2A	pos	3	732.5473	732.5473	120000	IV	Ambiguous	1.8	7.2122242	0.84	6.87	HexCer		d	37.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	ambiguous	HexCer	HexCer(37:6)	37:6	NA	NA	E	ML	False
GM2A	pos	3	732.5473	732.5473	120000	IV	Ambiguous	1.8	7.2122242	0.84	6.87	PA			37.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	ambiguous	PA	PA(37:2)	37:2	NA	NA	E	ML	False
GM2A	pos	3	732.5473	732.5473	120000	IV	Ambiguous	1.8	7.2122242	0.84	6.87	DAG			44.0	11.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG	ambiguous	DAG	DAG(44:11)	44:11	NA	NA	E	ML	False
GM2A	pos	3	732.5473	732.5473	120000	IV	Ambiguous	1.8	7.2122242	0.84	6.87	HexCer		d	35.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	ambiguous	HexCer	HexCer(35:3)	35:3	NA	NA	E	ML	False
GM2A	pos	4	550.8757	550.8757	46000	III.5	unknown	21.6	21.678196	21.31	22.83	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	ML	False
GM2A	pos	5	571.9056	571.9056	27000	III.5	unknown	21.34	21.334773	21.3	21.69	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	ML	False
GM2A	pos	6	611.7402	611.7402	18000	III.5	unknown	21.89	21.670527	21.31	22.83	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	ML	False
SEC14L3	pos	0	1008.307	1008.307	560000	III.5	unknown	14.95	14.940522	14.78	15.18	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	CRAL-TRIO	False
SEC14L3	pos	1	1082.3234	1082.3234	460000	III.5	unknown	15.48	15.47808	15.35	15.69	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	CRAL-TRIO	False
SEC14L3	pos	2	1158.3418	1158.3418	310000	III.5	unknown	15.88	15.889584	15.78	16.07	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	CRAL-TRIO	False
SEC14L3	pos	3	859.2497	859.2497	190000	III.2	unknown	13.07	13.106857	12.72	13.37	PI			23.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PI	NA	PI	PI(23:4)	23:4	NA	NA	E	CRAL-TRIO	True
SEC14L3	pos	4	1426.366	1426.366	100000	III.5	unknown	15.92	15.947891	15.78	16.17	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	CRAL-TRIO	False
SEC14L3	pos	5	1036.3386	1036.3386	100000	III.5	unknown	14.94	14.912848	14.82	15.11	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	CRAL-TRIO	False
SEC14L3	pos	6	1110.3565	1110.3565	79000	III.5	unknown	15.49	15.490469	15.39	15.63	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	CRAL-TRIO	False
SEC14L3	pos	7	962.3201	962.3201	77000	III.5	unknown	14.2	14.155945	13.96	14.4	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	CRAL-TRIO	False
SEC14L3	pos	8	1352.3498	1352.3498	73000	III.5	unknown	15.59	15.635309	15.42	15.89	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	CRAL-TRIO	False
SEC14L3	pos	9	964.3191	964.3191	43000	III.5	unknown	14.2	14.189558	14.0	14.38	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	CRAL-TRIO	False
OSBPL9	neg	0	788.5422	788.5422	17000	I	PS(18:0/18:1)	9.07	9.0513579	8.89	9.37	PS			36.0	1.0		18.0	0.0		18.0	1.0		NaN	NaN	PS	PS	PS	PS(36:1)	36:1	PS(18:0/18:1)	18:0/18:1	E	OSBP	False
OSBPL9	pos	0	718.5359	718.5359	1600000	I	PE(16:0/18:1)	9.02	9.0413954	8.56	9.52	PE			34.0	1.0		16.0	0.0		18.0	1.0		NaN	NaN	PE	PE	PE	PE(34:1)	34:1	PE(16:0/18:1)	16:0/18:1	E	OSBP	False
OSBPL9	pos	1	744.5531	744.5531	1400000	I	PE(18:1/18:1)	9.2	9.1971768	6.87	9.76	PE			36.0	2.0		18.0	1.0		18.0	1.0		NaN	NaN	PE	PE	PE	PE(36:2)	36:2	PE(18:1/18:1)	18:1/18:1	E	OSBP	False
OSBPL9	pos	2	716.5225	716.5225	850000	I	PE(16:1/18:1)	7.89	7.8958515	4.38	8.48	PE			34.0	2.0		16.0	1.0		18.0	1.0		NaN	NaN	PE	PE	PE	PE(34:2)	34:2	PE(16:1/18:1)	16:1/18:1	E	OSBP	False
OSBPL9	pos	3	481.3309	481.3309	740000	III.2	unknown	3.77	3.7660368	3.38	4.05	SM		d	18.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	SM	NA	NA	SM(18:0)	18:0	NA	NA	E	OSBP	False
OSBPL9	pos	3	481.3309	481.3309	740000	III.2	unknown	3.77	3.7660368	3.38	4.05	Cer		d	21.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	NA	Cer(21:0)	21:0	NA	NA	E	OSBP	False
OSBPL9	pos	3	481.3309	481.3309	740000	III.2	unknown	3.77	3.7660368	3.38	4.05	PA	Lyso		21.0	0.0		21.0	0.0		NaN	NaN		NaN	NaN	LysoPA	NA	NA	LysoPA(21:0)	21:0	LysoPA(21:0)	21:0	E	OSBP	False
OSBPL9	pos	3	481.3309	481.3309	740000	III.2	unknown	3.77	3.7660368	3.38	4.05	PA		O	21.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	NA	NA-O	NA-O(21:0)	21:0	NA	NA	E	OSBP	False
OSBPL9	pos	3	481.3309	481.3309	740000	III.2	unknown	3.77	3.7660368	3.38	4.05	LysoPE	Lyso	O	18.0	2.0	O	18.0	2.0		NaN	NaN		NaN	NaN	LysoPE-O	NA	NA-O	NA-O(18:2)	18:2	NA-O(18:2)	18:2	E	OSBP	False
OSBPL9	pos	4	730.5383	730.5383	460000	I	PE(17:1/18:1)	8.73	8.7283035	8.48	9.14	PE			35.0	2.0		17.0	1.0		18.0	1.0		NaN	NaN	PE	PE	PE	PE(35:2)	35:2	PE(17:1/18:1)	17:1/18:1	E	OSBP	False
OSBPL9	pos	5	792.5747	792.5747	400000	I	PG(18:1/18:1)	7.98	7.9651176	7.62	8.43	PG			36.0	2.0		18.0	1.0		18.0	1.0		NaN	NaN	PG	PG	PG	PG(36:2)	36:2	PG(18:1/18:1)	18:1/18:1	E	OSBP	False
OSBPL9	pos	6	526.3896	526.3896	320000	III.2	unknown	3.73	3.7286733	3.39	3.92	SM		d	20.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	SM	NA	NA	SM(20:0)	20:0	NA	NA	E	OSBP	False
